emp_no,first_name,last_name,title,birth_date,from_date,to_date,dept_name
79300,Behnaam,Hettesheimer,Senior Staff,1964-05-18,1988-11-19,9999-01-01,Finance
79307,Katsuyuki,Taneja,Senior Engineer,1964-09-22,1985-12-11,9999-01-01,Development
79354,Dayanand,Haraldson,Senior Engineer,1964-07-25,1986-05-13,9999-01-01,Development
79364,Anyuan,Manderick,Senior Staff,1962-08-15,1985-12-14,9999-01-01,Marketing
79366,Chinya,Tsunoo,Assistant Engineer,1962-10-27,1986-03-25,9999-01-01,Development
79389,Mitchel,Mattern,Engineer,1962-04-12,1986-11-06,9999-01-01,Quality Management
79416,Xuejun,Dratva,Senior Engineer,1962-01-15,1986-08-29,9999-01-01,Development
79465,Tadahiro,Swen,Senior Staff,1962-12-09,1986-12-29,9999-01-01,Research
79507,Chiradeep,Braunschweig,Engineer,1964-04-06,1985-05-20,9999-01-01,Development
79526,Fumiko,Eastman,Assistant Engineer,1962-06-07,1988-12-16,9999-01-01,Production
79535,Heekeun,Bauknecht,Senior Staff,1964-07-23,1988-01-27,9999-01-01,Sales
79542,Tadahiro,Lorch,Engineer,1964-03-09,1986-06-03,9999-01-01,Development
79579,Gina,Vecchio,Engineer,1963-12-08,1985-04-30,9999-01-01,Quality Management
79585,Tetsushi,Narlikar,Engineer,1963-01-03,1988-02-08,9999-01-01,Development
79606,Arnd,Peir,Senior Engineer,1965-01-03,1986-12-11,9999-01-01,Development
79615,Nobuyoshi,Polupanov,Engineer,1964-02-27,1988-07-05,9999-01-01,Production
79623,Aral,Gyorkos,Senior Engineer,1964-10-15,1985-10-21,9999-01-01,Production
79632,Chirstian,Marwedel,Senior Staff,1963-04-20,1987-12-27,9999-01-01,Sales
79741,Mads,Verspoor,Senior Staff,1964-03-13,1988-01-01,9999-01-01,Human Resources
79763,Sanjoy,Barreiro,Senior Staff,1965-01-20,1988-04-09,9999-01-01,Marketing
79773,Eckart,Sooriamurthi,Assistant Engineer,1964-10-10,1988-07-15,9999-01-01,Production
79801,Sandeepan,Muniz,Engineer,1964-12-27,1986-03-02,9999-01-01,Production
79824,Toshimo,Maquelin,Engineer,1964-04-01,1986-04-11,9999-01-01,Production
79895,Fei,Murtagh,Senior Staff,1965-01-30,1986-01-19,9999-01-01,Sales
79897,Heather,Granlund,Technique Leader,1962-05-27,1987-05-12,9999-01-01,Development
79905,Danil,Eickenmeyer,Engineer,1962-06-25,1988-12-13,9999-01-01,Production
79913,Almudena,Worfolk,Assistant Engineer,1963-03-14,1986-11-03,9999-01-01,Production
79917,Shooichi,Coombs,Senior Staff,1963-12-03,1988-01-06,9999-01-01,Marketing
79937,Chandrasekaran,Rothe,Senior Staff,1963-04-19,1985-03-09,9999-01-01,Human Resources
79957,Valter,Kulisch,Engineer,1962-08-19,1987-01-25,9999-01-01,Quality Management
79968,Nahum,Sommen,Senior Staff,1964-05-11,1985-12-12,9999-01-01,Finance
79971,Randy,Eterovic,Senior Staff,1964-05-12,1987-05-31,9999-01-01,Finance
79983,Nalini,Panienski,Senior Staff,1962-11-13,1987-09-23,9999-01-01,Finance
79992,Laurentiu,Heping,Assistant Engineer,1964-02-08,1987-06-29,9999-01-01,Development
79997,Venkatesan,Vigier,Assistant Engineer,1962-08-27,1986-02-25,9999-01-01,Development
79998,Kristof,Brodal,Senior Staff,1962-02-01,1987-06-11,9999-01-01,Customer Service
80002,Mayuko,Meszaros,Senior Staff,1963-04-25,1988-09-10,9999-01-01,Human Resources
80035,Val,Sevcikova,Senior Staff,1964-10-02,1986-07-21,9999-01-01,Marketing
80051,Kayoko,Jayawardene,Technique Leader,1964-01-03,1986-02-06,9999-01-01,Production
80067,Kazuhisa,Weiland,Senior Staff,1965-01-19,1985-11-09,9999-01-01,Customer Service
80107,Girolamo,Rossi,Engineer,1964-04-20,1988-10-11,9999-01-01,Production
80178,Sanjit,Christ,Senior Staff,1963-02-25,1985-07-21,9999-01-01,Sales
80191,Bouchung,Alvarado,Senior Staff,1964-11-23,1986-03-27,9999-01-01,Sales
80230,Lunjin,Waschkowski,Engineer,1964-04-08,1985-08-08,9999-01-01,Development
80248,Nevin,Matzke,Senior Engineer,1964-03-21,1988-09-17,9999-01-01,Development
80267,Pradeep,Vandervoorde,Engineer,1964-05-21,1988-09-17,9999-01-01,Production
80291,Sashi,Flowers,Senior Staff,1964-07-26,1985-11-13,9999-01-01,Sales
80299,Susanne,Collette,Senior Staff,1962-03-12,1986-08-25,9999-01-01,Sales
80315,Zvonko,Templeman,Engineer,1962-02-03,1988-12-10,9999-01-01,Development
80323,Zdislav,Grabner,Senior Staff,1962-03-08,1988-08-18,9999-01-01,Human Resources
80339,Fumitake,Hempstead,Engineer,1964-03-08,1987-03-30,9999-01-01,Development
80365,Sailaja,Schmiedel,Engineer,1962-05-31,1985-04-04,9999-01-01,Production
80405,Kwangjo,Bultermann,Senior Staff,1963-08-17,1988-05-18,9999-01-01,Customer Service
80453,Ranan,Candan,Engineer,1964-05-05,1986-06-14,9999-01-01,Development
80480,Aruna,Birch,Senior Engineer,1963-03-25,1988-01-24,9999-01-01,Production
80485,Pragnesh,Beznosov,Senior Staff,1963-01-28,1985-02-24,9999-01-01,Sales
80530,Laurentiu,Shanbhogue,Senior Staff,1964-01-05,1988-12-15,9999-01-01,Human Resources
80547,Shakhar,Cannata,Senior Staff,1963-12-25,1988-01-31,9999-01-01,Sales
80549,Constantine,Verspoor,Technique Leader,1962-04-26,1987-04-03,9999-01-01,Development
80565,Ekawit,Alpay,Senior Staff,1962-06-12,1985-07-16,9999-01-01,Sales
80587,Mototsugu,Atrawala,Engineer,1962-02-14,1987-05-02,9999-01-01,Production
80623,Przemyslawa,Waterhouse,Engineer,1962-06-06,1987-10-07,9999-01-01,Production
80650,Troy,Massonet,Assistant Engineer,1964-09-13,1986-12-20,9999-01-01,Production
80658,Khalil,Waleschkowski,Engineer,1963-09-22,1986-06-16,9999-01-01,Development
80659,Youngkon,Vidal,Engineer,1962-02-26,1987-02-11,9999-01-01,Production
80691,Hideo,McFarlin,Senior Staff,1963-07-20,1987-05-25,9999-01-01,Finance
80707,Xiping,Bennet,Engineer,1964-11-14,1988-02-28,9999-01-01,Production
80709,Sachin,Benveniste,Engineer,1962-12-19,1985-08-25,9999-01-01,Development
80712,Sahrah,Ranon,Engineer,1963-08-11,1986-01-28,9999-01-01,Quality Management
80723,Izaskun,Reinhard,Senior Staff,1962-09-21,1987-12-30,9999-01-01,Marketing
80731,Shaowen,Eldridge,Senior Staff,1965-01-25,1987-12-05,9999-01-01,Sales
80752,Zhenhua,Adachi,Senior Staff,1962-03-18,1988-10-18,9999-01-01,Sales
80757,Seongbin,Kavvadias,Senior Staff,1962-08-29,1988-09-12,9999-01-01,Sales
80767,Vitali,Vitiello,Engineer,1962-07-27,1986-01-29,9999-01-01,Development
80772,Shooichi,Crooks,Senior Staff,1963-04-16,1988-11-28,9999-01-01,Sales
80773,Djenana,Fargier,Engineer,1963-10-07,1988-11-20,9999-01-01,Development
80808,Toong,Kisuki,Technique Leader,1963-11-29,1986-08-10,9999-01-01,Quality Management
80813,Guozhong,Pettis,Engineer,1964-11-29,1986-10-05,9999-01-01,Quality Management
80820,Kristina,Zobel,Senior Staff,1964-06-12,1987-07-06,9999-01-01,Human Resources
80823,Willard,Baca,Senior Staff,1963-01-21,1985-02-26,9999-01-01,Sales
80878,Zeljko,Danlos,Engineer,1963-03-27,1987-08-05,9999-01-01,Development
80885,Nigel,Herber,Senior Staff,1963-04-06,1988-12-07,9999-01-01,Customer Service
80889,Shigeo,Linnainmaa,Senior Engineer,1965-01-07,1985-07-30,9999-01-01,Development
80913,Yongdong,Delgrande,Senior Staff,1964-01-20,1986-08-11,9999-01-01,Research
80943,Filipe,Fiebach,Senior Staff,1964-06-13,1987-01-19,9999-01-01,Finance
80950,Remzi,Michaels,Senior Staff,1963-07-17,1985-03-03,9999-01-01,Human Resources
80953,Jongsuk,Kolvik,Technique Leader,1963-10-19,1987-02-08,9999-01-01,Production
80963,Shen,Guerreiro,Senior Staff,1962-06-15,1987-01-25,9999-01-01,Sales
81003,Youjian,Keirsey,Assistant Engineer,1962-03-26,1987-01-23,9999-01-01,Production
81064,Xiahua,Wilharm,Senior Staff,1962-02-01,1988-11-05,9999-01-01,Human Resources
81097,Renee,Setia,Engineer,1964-04-18,1986-10-07,9999-01-01,Production
81160,Piyawadee,Sundgren,Senior Engineer,1964-12-08,1985-10-03,9999-01-01,Development
81179,Macha,Glowinski,Assistant Engineer,1962-07-14,1987-12-05,9999-01-01,Development
81180,Jaihie,Ranta,Assistant Engineer,1963-09-04,1987-12-11,9999-01-01,Production
81211,Abdelghani,Binkley,Engineer,1964-03-22,1987-02-07,9999-01-01,Development
81259,Christophe,Range,Engineer,1963-07-11,1985-05-01,9999-01-01,Development
81272,Gaurav,Miyakawa,Senior Staff,1963-05-16,1988-11-26,9999-01-01,Customer Service
81291,Badri,Scallan,Technique Leader,1964-06-24,1987-01-27,9999-01-01,Quality Management
81294,Hilary,Waterhouse,Senior Staff,1964-03-10,1988-11-12,9999-01-01,Sales
81302,Jiakeng,Fabrizio,Senior Staff,1962-02-02,1986-03-04,9999-01-01,Sales
81336,Lunjin,Papsdorf,Engineer,1964-01-13,1986-10-27,9999-01-01,Development
81370,Froduald,Neimat,Senior Staff,1962-06-09,1988-07-02,9999-01-01,Marketing
81477,Serap,Lampe,Engineer,1962-07-07,1987-06-02,9999-01-01,Production
81489,Ennio,Iisaku,Engineer,1964-05-28,1988-12-24,9999-01-01,Development
81496,Anyuan,Ashish,Senior Staff,1964-03-24,1988-04-12,9999-01-01,Sales
81502,Huiqun,Leaver,Engineer,1963-08-24,1985-02-12,9999-01-01,Development
81515,Aron,Flanders,Senior Staff,1963-01-12,1986-02-25,9999-01-01,Sales
81557,Alois,Lieblein,Senior Staff,1963-10-14,1988-08-08,9999-01-01,Sales
81565,Xuejun,Swab,Technique Leader,1964-07-19,1988-11-15,9999-01-01,Quality Management
81570,Luise,Potthoff,Engineer,1963-09-09,1987-01-21,9999-01-01,Quality Management
81604,Jiong,Karnin,Senior Staff,1963-10-14,1988-02-10,9999-01-01,Finance
81609,Eben,Nyrup,Senior Staff,1963-08-06,1988-11-26,9999-01-01,Marketing
81637,Freyja,Przulj,Senior Staff,1964-10-07,1987-06-16,9999-01-01,Customer Service
81683,Mabo,Zambonelli,Engineer,1962-04-25,1987-12-05,9999-01-01,Production
81701,Khatoun,Gimbel,Senior Staff,1963-06-08,1988-08-20,9999-01-01,Finance
81713,Ravishankar,Cooley,Senior Staff,1964-08-16,1988-03-24,9999-01-01,Finance
81776,Kish,Speek,Senior Staff,1963-01-31,1988-09-28,9999-01-01,Finance
81826,Yinghua,Conry,Senior Staff,1962-07-04,1986-10-25,9999-01-01,Research
81833,Mana,Atchley,Technique Leader,1962-02-08,1987-08-20,9999-01-01,Production
81868,Mikhail,Rosar,Senior Engineer,1962-07-21,1986-10-31,9999-01-01,Production
81881,Goo,Schmiedel,Senior Staff,1963-08-09,1987-05-31,9999-01-01,Sales
81887,Gio,Ghandeharizadeh,Senior Staff,1962-08-02,1986-04-07,9999-01-01,Sales
81897,Marco,Gien,Engineer,1964-08-20,1985-10-30,9999-01-01,Quality Management
81899,Yonghong,Melski,Engineer,1962-04-08,1988-07-27,9999-01-01,Development
81905,Satoru,Siprelle,Assistant Engineer,1963-03-03,1987-08-29,9999-01-01,Production
81923,Oscar,Sluis,Engineer,1964-06-25,1988-01-15,9999-01-01,Development
81933,Vatsa,Lunn,Senior Staff,1963-06-13,1986-05-06,9999-01-01,Sales
81948,Girolamo,Comellas,Engineer,1963-01-07,1985-05-16,9999-01-01,Production
81965,Georg,Kaiserswerth,Technique Leader,1963-01-07,1987-09-17,9999-01-01,Customer Service
81968,Radhia,Griswold,Senior Staff,1963-06-21,1987-11-26,9999-01-01,Finance
82031,Jaewon,Gelosh,Engineer,1963-08-18,1987-08-25,9999-01-01,Production
82056,Somnath,Eldridge,Senior Staff,1964-05-08,1987-08-09,9999-01-01,Customer Service
82061,Oscar,Byoun,Senior Staff,1962-09-13,1988-04-28,9999-01-01,Sales
82068,Aria,DiGiano,Senior Engineer,1963-12-28,1987-03-12,9999-01-01,Production
82099,Kasidit,Vigier,Senior Staff,1963-04-21,1985-09-20,9999-01-01,Sales
82153,Shigenori,Demri,Engineer,1962-07-31,1987-05-31,9999-01-01,Quality Management
82196,Amstein,Zizka,Senior Staff,1962-12-29,1987-02-18,9999-01-01,Research
82254,Lein,Lorcy,Senior Staff,1964-10-07,1986-12-11,9999-01-01,Sales
82284,Florina,Peak,Senior Staff,1964-09-18,1986-03-12,9999-01-01,Sales
82304,Sadok,Biros,Assistant Engineer,1962-12-25,1988-12-16,9999-01-01,Quality Management
82306,Vugranam,Schach,Engineer,1964-09-20,1988-05-07,9999-01-01,Production
82328,Martien,Cappello,Senior Engineer,1962-09-29,1985-02-15,9999-01-01,Production
82340,Palash,Wroclawski,Senior Staff,1963-07-21,1985-09-14,9999-01-01,Research
82359,Aruna,Beetstra,Senior Staff,1964-07-31,1988-04-29,9999-01-01,Customer Service
82396,Zhaofang,Leslie,Engineer,1963-05-27,1987-11-25,9999-01-01,Development
82405,Arlette,Wegerle,Senior Staff,1964-01-18,1987-11-20,9999-01-01,Sales
82500,Christoper,Merle,Engineer,1964-08-30,1986-12-14,9999-01-01,Development
82521,Lubomir,Porenta,Senior Staff,1963-02-07,1988-09-24,9999-01-01,Sales
82610,Toney,Poulakidas,Senior Staff,1962-06-12,1987-05-25,9999-01-01,Sales
82618,Gritta,Ghandeharizadeh,Senior Staff,1963-08-08,1985-07-09,9999-01-01,Sales
82636,Leaf,Butterworth,Engineer,1964-02-29,1988-12-05,9999-01-01,Development
82637,Berna,Terwilliger,Senior Staff,1962-05-29,1987-05-26,9999-01-01,Finance
82660,Chaosheng,Sudbeck,Senior Staff,1962-10-21,1987-02-21,9999-01-01,Sales
82665,Adel,Lanphier,Senior Staff,1964-01-07,1986-08-30,9999-01-01,Human Resources
82681,Martijn,Matteis,Engineer,1962-07-28,1988-12-05,9999-01-01,Production
82701,Jingling,Genther,Engineer,1963-12-24,1985-09-10,9999-01-01,Development
82725,Remmert,Kalloufi,Senior Staff,1963-09-12,1988-07-20,9999-01-01,Marketing
82730,Sampalli,Rajcani,Engineer,1964-10-22,1986-05-08,9999-01-01,Production
82763,Shuji,Gips,Senior Staff,1962-04-25,1986-11-02,9999-01-01,Marketing
82778,Yefim,Haddadi,Senior Staff,1964-01-15,1987-04-15,9999-01-01,Customer Service
82799,Bezalel,Argence,Senior Staff,1963-03-30,1988-12-27,9999-01-01,Sales
82801,Adly,Masand,Engineer,1963-10-28,1988-06-28,9999-01-01,Development
82809,Guangming,Spelt,Senior Engineer,1964-06-21,1988-10-04,9999-01-01,Production
82861,Yishay,Cannata,Senior Engineer,1962-03-04,1985-11-18,9999-01-01,Development
82879,Jaques,Luon,Senior Staff,1964-03-18,1987-06-14,9999-01-01,Research
82883,Uli,Bhattacharjee,Engineer,1964-10-28,1985-09-26,9999-01-01,Development
82894,Yechezkel,Geffroy,Senior Staff,1964-07-30,1985-05-29,9999-01-01,Human Resources
82963,Kazuhiro,Schreiter,Engineer,1964-03-14,1985-09-04,9999-01-01,Quality Management
83013,Pantung,Aloisi,Senior Staff,1962-02-02,1987-11-27,9999-01-01,Human Resources
83015,Hatem,Bahi,Assistant Engineer,1964-03-08,1988-07-26,9999-01-01,Development
83058,Ortrud,Gide,Assistant Engineer,1963-09-23,1985-10-09,9999-01-01,Production
83064,Xuejun,Murthy,Senior Staff,1964-10-29,1985-04-05,9999-01-01,Customer Service
83111,Gian,Erie,Senior Staff,1964-06-18,1986-01-14,9999-01-01,Sales
83112,Morrie,Holburn,Senior Staff,1962-11-29,1985-11-06,9999-01-01,Sales
83120,Shuky,Picht,Senior Staff,1964-05-14,1986-03-20,9999-01-01,Customer Service
83139,Marie,Kalloufi,Senior Staff,1963-06-29,1987-09-19,9999-01-01,Finance
83173,Piyawadee,Vecchi,Senior Engineer,1964-09-05,1987-03-03,9999-01-01,Quality Management
83182,Kousuke,Wielonsky,Engineer,1964-05-19,1986-09-13,9999-01-01,Development
83209,Garnik,Taubenfeld,Engineer,1964-06-26,1987-05-03,9999-01-01,Production
83222,Geoff,Kuszyk,Engineer,1964-11-26,1986-05-09,9999-01-01,Quality Management
83257,Ulf,Boguraev,Engineer,1964-04-22,1987-10-30,9999-01-01,Production
83278,Georg,Khalil,Senior Staff,1962-09-25,1985-03-04,9999-01-01,Sales
83295,Xiaocheng,Senzako,Engineer,1962-01-16,1985-04-15,9999-01-01,Development
83315,Billur,Nastansky,Engineer,1964-03-07,1985-09-11,9999-01-01,Development
83373,Idoia,Conry,Senior Staff,1964-10-10,1988-01-08,9999-01-01,Research
83384,Lech,Benzmuller,Engineer,1964-01-18,1987-11-29,9999-01-01,Development
83394,Mokhtar,Azumi,Engineer,1963-10-27,1988-11-26,9999-01-01,Development
83403,Tsuneo,Cherinka,Senior Engineer,1964-08-25,1988-06-23,9999-01-01,Development
83416,Gudjon,Kushner,Engineer,1963-10-23,1986-09-20,9999-01-01,Development
83438,Feixiong,Viele,Senior Staff,1964-12-22,1985-08-07,9999-01-01,Customer Service
83467,Stabislas,Tyugu,Senior Engineer,1963-03-04,1986-01-15,9999-01-01,Development
83471,Gaetan,Chaudhury,Senior Staff,1964-07-26,1987-12-12,9999-01-01,Research
83484,Alper,McDermid,Engineer,1964-10-31,1988-10-19,9999-01-01,Quality Management
83505,Masami,Guting,Senior Staff,1963-06-29,1988-01-01,9999-01-01,Research
83528,Ulf,Braunmuhl,Senior Staff,1963-11-16,1986-10-17,9999-01-01,Marketing
83529,George,Schwartzburd,Senior Staff,1962-09-18,1988-02-13,9999-01-01,Sales
83539,Yakichi,Thiran,Senior Staff,1964-11-23,1987-05-27,9999-01-01,Sales
83550,Sukumar,Sommen,Senior Staff,1963-12-29,1986-06-04,9999-01-01,Sales
83556,Palash,Ponthieu,Engineer,1963-02-17,1988-07-15,9999-01-01,Development
83623,Zhiwei,Tomescu,Senior Engineer,1964-10-28,1985-02-06,9999-01-01,Development
83646,Shahab,Standera,Senior Engineer,1963-08-17,1985-07-09,9999-01-01,Development
83651,Mana,Bala,Senior Staff,1963-05-16,1985-12-14,9999-01-01,Human Resources
83685,Chirstian,Nergos,Senior Staff,1964-05-29,1987-05-15,9999-01-01,Sales
83744,Bangqing,Rosis,Engineer,1963-02-01,1988-08-13,9999-01-01,Development
83805,Manohar,Harllee,Senior Engineer,1965-01-23,1987-03-11,9999-01-01,Development
83817,Brewster,Plumb,Senior Staff,1963-08-15,1985-10-23,9999-01-01,Human Resources
83821,Kazuhito,Gonthier,Senior Staff,1963-10-17,1986-08-13,9999-01-01,Human Resources
83851,Jianhao,Qiwen,Senior Engineer,1964-07-21,1985-10-22,9999-01-01,Production
83921,Shooichi,Thambidurai,Senior Staff,1964-01-16,1986-11-13,9999-01-01,Customer Service
83938,Taisook,Benner,Senior Staff,1962-08-27,1986-03-01,9999-01-01,Human Resources
83940,Wuxu,Sluis,Engineer,1964-08-01,1987-02-04,9999-01-01,Production
84005,JiYoung,Rindone,Senior Staff,1962-09-12,1988-12-28,9999-01-01,Finance
84033,Etsuo,Dulli,Senior Staff,1962-11-12,1988-11-25,9999-01-01,Sales
84050,Rafael,Lueh,Engineer,1964-10-04,1985-10-01,9999-01-01,Production
84116,Remko,Cromarty,Engineer,1962-01-15,1986-12-17,9999-01-01,Production
84131,Guther,Strooper,Engineer,1964-05-19,1985-11-28,9999-01-01,Development
84169,Tommaso,Boguraev,Senior Staff,1962-04-29,1987-02-02,9999-01-01,Marketing
84191,Goncalo,Papadias,Engineer,1964-02-10,1985-10-23,9999-01-01,Quality Management
84227,Oksana,Rajaraman,Engineer,1964-10-20,1985-12-09,9999-01-01,Production
84235,Chrisa,Rissland,Senior Staff,1962-01-20,1988-04-12,9999-01-01,Human Resources
84236,Eberhardt,Barriga,Senior Staff,1965-01-18,1987-06-04,9999-01-01,Sales
84254,Ewing,Vickson,Senior Engineer,1964-07-02,1985-08-21,9999-01-01,Development
84284,Vasilis,Zeleznik,Engineer,1964-03-24,1985-05-31,9999-01-01,Development
84343,Avishai,Budinsky,Senior Staff,1962-01-23,1985-08-28,9999-01-01,Finance
84346,Maik,Perng,Assistant Engineer,1964-10-02,1985-03-29,9999-01-01,Production
84379,Margo,Gomatam,Senior Engineer,1962-10-11,1985-02-10,9999-01-01,Quality Management
84400,Doowon,Brickell,Engineer,1962-03-12,1986-08-28,9999-01-01,Development
84444,Mayuko,Rahier,Senior Staff,1964-05-13,1988-06-14,9999-01-01,Marketing
84448,Moss,Schach,Engineer,1962-02-28,1987-11-26,9999-01-01,Development
84495,Jinya,Comyn,Senior Staff,1963-06-26,1986-03-25,9999-01-01,Sales
84515,Zongyan,Landherr,Engineer,1963-09-04,1985-07-18,9999-01-01,Production
84526,Angel,Kornyak,Senior Staff,1962-05-13,1988-08-03,9999-01-01,Human Resources
84536,Ayonca,Fioravanti,Engineer,1963-09-25,1986-06-18,9999-01-01,Development
84548,Ranga,Argence,Senior Staff,1963-04-16,1988-01-18,9999-01-01,Sales
84589,Ger,Kabayashi,Engineer,1963-03-10,1987-12-31,9999-01-01,Quality Management
84616,Charmane,Litzler,Senior Engineer,1964-01-09,1987-05-23,9999-01-01,Development
84618,Jessie,Oxenboll,Engineer,1962-10-18,1985-10-29,9999-01-01,Development
84637,Paraskevi,Kaminger,Senior Staff,1962-04-18,1988-07-30,9999-01-01,Marketing
84654,Zhenhua,Stifter,Senior Staff,1963-07-18,1986-11-04,9999-01-01,Sales
84702,Tonny,Baaleh,Senior Staff,1963-03-11,1986-02-14,9999-01-01,Marketing
84709,Karsten,Pauthner,Engineer,1962-01-18,1985-04-11,9999-01-01,Production
84741,Panayotis,Birjandi,Senior Staff,1962-06-20,1986-11-13,9999-01-01,Marketing
84803,IEEE,Schade,Senior Staff,1962-02-06,1987-12-02,9999-01-01,Finance
84806,Subhada,Oberman,Senior Staff,1962-04-20,1985-04-17,9999-01-01,Marketing
84839,Ulises,Masamoto,Senior Staff,1963-08-19,1985-07-02,9999-01-01,Sales
84885,Gaetan,Ambroszkiewicz,Senior Staff,1962-02-15,1988-08-07,9999-01-01,Sales
84897,Szabolcs,Gecsei,Senior Staff,1962-03-16,1986-11-16,9999-01-01,Finance
84899,Moss,Backhouse,Engineer,1963-11-23,1988-10-05,9999-01-01,Production
84920,Bedir,Uehara,Senior Staff,1964-10-09,1986-05-02,9999-01-01,Sales
84941,Moto,Ghandeharizadeh,Senior Staff,1963-10-06,1986-06-14,9999-01-01,Finance
84942,Shin,Fujisaki,Technique Leader,1965-01-15,1988-02-23,9999-01-01,Quality Management
84957,Saniya,Trelles,Senior Staff,1963-10-07,1987-04-27,9999-01-01,Research
84958,Przemyslawa,Foote,Senior Staff,1962-10-06,1985-03-10,9999-01-01,Human Resources
84965,Sudharsan,Magliocco,Senior Staff,1964-08-30,1988-02-09,9999-01-01,Sales
85032,Shuzo,Furudate,Engineer,1964-12-20,1987-10-29,9999-01-01,Development
85035,Stepehn,Herber,Engineer,1962-08-04,1987-05-26,9999-01-01,Development
85073,Gregory,Kavanagh,Engineer,1964-01-09,1986-06-20,9999-01-01,Production
85084,Khosrow,Baaz,Senior Engineer,1963-02-01,1986-01-17,9999-01-01,Development
85099,Collette,Vilarrasa,Senior Staff,1963-12-09,1988-10-22,9999-01-01,Research
85135,Yifei,Gluchowski,Technique Leader,1963-08-20,1988-08-18,9999-01-01,Quality Management
85176,Rafols,Knightly,Senior Staff,1962-07-22,1985-08-14,9999-01-01,Human Resources
85182,Sugwoo,Curless,Technique Leader,1962-07-27,1987-02-22,9999-01-01,Production
85194,Subhada,Sifakis,Senior Staff,1962-08-24,1986-05-10,9999-01-01,Sales
85205,Conor,Streit,Senior Staff,1962-12-26,1986-05-21,9999-01-01,Customer Service
85246,Xiaopeng,Pellegrinelli,Technique Leader,1962-02-25,1987-09-27,9999-01-01,Production
85275,Yuriy,Schneeberger,Senior Staff,1963-10-24,1987-09-25,9999-01-01,Marketing
85317,Vidar,Thebaut,Senior Staff,1963-09-23,1988-12-19,9999-01-01,Marketing
85343,Flemming,Lamparter,Senior Staff,1963-06-11,1986-11-02,9999-01-01,Customer Service
85346,Gunilla,Kawashimo,Engineer,1962-02-24,1987-04-20,9999-01-01,Development
85349,Guenter,Jeansoulin,Engineer,1963-08-26,1986-03-06,9999-01-01,Production
85378,Toshimori,Ranka,Senior Engineer,1963-04-27,1987-04-26,9999-01-01,Development
85388,Mats,Kaelbling,Engineer,1964-10-15,1985-10-17,9999-01-01,Production
85395,Kazuhisa,Maksimenko,Senior Staff,1963-09-09,1987-03-17,9999-01-01,Research
85409,Krassimir,Schrooten,Assistant Engineer,1964-08-14,1985-05-26,9999-01-01,Production
85427,Branimir,Gewali,Senior Staff,1963-05-08,1986-10-22,9999-01-01,Finance
85441,Peternela,Ressouche,Senior Staff,1964-08-18,1985-05-07,9999-01-01,Human Resources
85488,Gritta,Atchley,Engineer,1962-06-15,1988-10-14,9999-01-01,Production
85550,Gro,Peak,Engineer,1964-05-07,1987-11-12,9999-01-01,Development
85564,Basem,Baez,Engineer,1963-11-28,1988-04-08,9999-01-01,Development
85580,Moty,Muniz,Engineer,1963-06-02,1988-09-05,9999-01-01,Production
85643,Gretta,Poehlman,Senior Staff,1962-02-01,1985-07-08,9999-01-01,Finance
85665,Goncalo,Hitomi,Senior Staff,1963-05-21,1987-05-24,9999-01-01,Sales
85691,Kwangyoen,Molberg,Engineer,1962-11-24,1987-12-23,9999-01-01,Development
85713,Sampalli,Zhiwei,Senior Staff,1962-07-20,1985-04-01,9999-01-01,Customer Service
85733,Arunas,Braunschweig,Senior Staff,1962-11-12,1988-04-01,9999-01-01,Human Resources
85785,Patricio,Heyers,Assistant Engineer,1962-02-09,1988-02-14,9999-01-01,Development
85792,Weicheng,Schrooten,Senior Staff,1962-08-09,1985-03-10,9999-01-01,Customer Service
85813,Dines,Swift,Engineer,1963-09-14,1988-01-30,9999-01-01,Development
85833,Ibibia,Fargier,Senior Engineer,1964-03-26,1985-03-05,9999-01-01,Quality Management
85838,Vishwani,Prenel,Senior Staff,1962-03-16,1988-10-24,9999-01-01,Marketing
85847,Vesna,Demizu,Technique Leader,1964-12-07,1986-06-18,9999-01-01,Development
85864,Sasan,Sidhu,Senior Staff,1962-08-09,1988-05-06,9999-01-01,Finance
85874,Pasqua,Taubman,Senior Staff,1965-01-30,1986-06-23,9999-01-01,Customer Service
85900,Yechezkel,Nivat,Engineer,1964-09-20,1987-12-20,9999-01-01,Production
85906,Alagu,Bressoud,Engineer,1962-12-04,1988-12-03,9999-01-01,Quality Management
85948,Somnath,Valiente,Engineer,1964-10-20,1988-02-06,9999-01-01,Production
85989,Shooichi,McDermid,Senior Staff,1962-08-26,1988-07-14,9999-01-01,Human Resources
86002,Hongzue,Thummel,Senior Staff,1964-07-10,1986-11-25,9999-01-01,Research
86059,Goo,Warwick,Senior Staff,1964-03-01,1988-08-16,9999-01-01,Finance
86105,Guther,Plesums,Senior Staff,1962-05-10,1987-07-22,9999-01-01,Sales
86117,Nishit,Barvinok,Senior Staff,1964-01-15,1986-05-24,9999-01-01,Human Resources
86122,Leah,Ritzmann,Senior Staff,1963-04-08,1986-06-11,9999-01-01,Sales
86126,Leandro,Heering,Senior Staff,1962-03-26,1988-08-25,9999-01-01,Finance
86144,KayLiang,Trumbly,Senior Staff,1964-09-11,1985-03-06,9999-01-01,Finance
86161,Mats,Vernadat,Engineer,1962-03-26,1985-07-23,9999-01-01,Development
