emp_no,first_name,last_name,title,birth_date,from_date,to_date
66484,Conrado,Hempstead,Engineer,1963-08-23,1987-12-24,9999-01-01
66527,Shem,Compeau,Senior Staff,1964-11-23,1986-11-27,9999-01-01
66595,Tooru,Flowers,Senior Staff,1962-02-04,1987-05-21,9999-01-01
66639,Kenton,Anily,Engineer,1964-09-30,1987-11-09,9999-01-01
66654,Rayond,Takkinen,Senior Staff,1962-11-03,1986-10-10,9999-01-01
66659,Hidekazu,Lukaszewicz,Engineer,1963-06-04,1985-12-24,9999-01-01
66673,Huiqun,Nations,Engineer,1962-09-09,1986-07-23,9999-01-01
66677,Bernardo,Sluis,Engineer,1963-08-28,1987-10-30,9999-01-01
66710,Mats,Zschoche,Senior Staff,1962-05-19,1988-06-12,9999-01-01
66747,Arne,Encarnacion,Engineer,1962-09-12,1986-07-19,9999-01-01
66780,Vesna,Rodier,Senior Staff,1962-11-11,1988-09-19,9999-01-01
66789,Tomoyuki,Peak,Senior Staff,1963-01-12,1987-04-30,9999-01-01
66793,Lansing,Kambil,Senior Staff,1964-05-15,1985-06-20,9999-01-01
66812,Ibibia,Bressoud,Senior Staff,1964-10-10,1988-01-18,9999-01-01
66826,Nahid,Pietracaprina,Engineer,1964-01-14,1985-11-29,9999-01-01
66853,Adib,Rande,Senior Staff,1963-05-20,1987-05-02,9999-01-01
66860,Mack,Bain,Engineer,1964-06-09,1987-03-12,9999-01-01
66892,Tadanori,Vural,Engineer,1963-01-15,1986-02-07,9999-01-01
66926,Shaw,Dehkordi,Senior Staff,1963-10-28,1988-06-26,9999-01-01
66927,Maha,Brodie,Assistant Engineer,1962-05-12,1988-04-12,9999-01-01
66951,Koldo,Tsukuda,Engineer,1964-03-22,1987-09-30,9999-01-01
66958,Yucai,Maraist,Senior Staff,1964-11-15,1988-05-22,9999-01-01
66979,Kousuke,Guardalben,Senior Engineer,1962-01-17,1987-11-12,9999-01-01
67010,Sudharsan,Pramanik,Senior Staff,1964-08-17,1985-02-16,9999-01-01
67013,Odinaldo,Rajaraman,Senior Staff,1962-10-03,1985-05-08,9999-01-01
67017,Subir,Pluym,Engineer,1963-12-07,1986-05-02,9999-01-01
67023,Petter,McDermid,Engineer,1964-04-19,1985-06-09,9999-01-01
67071,Miyeon,Peres,Assistant Engineer,1963-08-20,1986-06-17,9999-01-01
67073,Jingling,Zweizig,Senior Staff,1964-08-23,1987-12-12,9999-01-01
67092,Sanjay,Laventhal,Technique Leader,1964-11-06,1985-09-04,9999-01-01
67103,Jianhua,Raczkowsky,Senior Staff,1964-09-17,1987-10-02,9999-01-01
67129,Kiyotoshi,Auyong,Engineer,1963-12-04,1988-07-30,9999-01-01
67145,Peer,Camurati,Senior Staff,1963-02-08,1985-12-25,9999-01-01
67158,Xiahua,Rando,Senior Staff,1962-01-12,1985-03-24,9999-01-01
67185,Geraldo,Dolinsky,Senior Engineer,1963-07-19,1986-12-18,9999-01-01
67191,Roselyn,Underwood,Engineer,1962-11-25,1985-05-13,9999-01-01
67236,Subhash,Linares,Engineer,1962-12-10,1985-07-07,9999-01-01
67269,Kamran,Coullard,Engineer,1962-10-02,1988-07-27,9999-01-01
67278,Mahendra,Jansch,Senior Staff,1963-04-16,1987-08-12,9999-01-01
67279,Hailing,Begiun,Engineer,1964-12-20,1986-06-06,9999-01-01
67287,Berni,Deverell,Technique Leader,1964-06-21,1987-05-20,9999-01-01
67296,Percy,Malinowski,Senior Staff,1962-04-12,1986-04-26,9999-01-01
67320,Sadok,Lorys,Senior Staff,1965-01-18,1987-05-10,9999-01-01
67365,Sanjit,Pileggi,Engineer,1964-06-15,1985-08-20,9999-01-01
67425,Tonny,Denny,Senior Staff,1963-11-18,1988-05-15,9999-01-01
67459,Rajmohan,Armand,Senior Staff,1963-10-25,1986-06-30,9999-01-01
67473,Beshir,Sethi,Engineer,1964-11-07,1987-11-03,9999-01-01
67489,Constantijn,Conti,Engineer,1963-02-24,1986-08-20,9999-01-01
67490,Moriyoshi,Molenaar,Senior Staff,1963-06-18,1986-03-18,9999-01-01
67493,Yechiam,Malinowski,Senior Staff,1963-11-16,1988-01-21,9999-01-01
67496,Shuzo,Shanbhogue,Senior Staff,1964-11-09,1988-02-12,9999-01-01
67511,Unal,Chinin,Senior Staff,1964-09-13,1988-10-03,9999-01-01
67540,True,Krichel,Senior Staff,1964-04-10,1986-12-31,9999-01-01
67541,Wuxu,Ertl,Engineer,1963-08-29,1986-03-03,9999-01-01
67551,Kien,Oaver,Assistant Engineer,1963-05-18,1987-03-12,9999-01-01
67559,Ult,Prenel,Senior Staff,1962-10-28,1987-08-22,9999-01-01
67592,Gopalakrishnan,Sherertz,Senior Staff,1964-01-05,1985-06-15,9999-01-01
67627,Make,Kieras,Technique Leader,1962-07-01,1988-01-11,9999-01-01
67635,Leni,Yetto,Senior Staff,1962-10-29,1988-10-06,9999-01-01
67649,Jayesh,Hutton,Senior Staff,1963-11-05,1985-06-12,9999-01-01
67663,Filipp,Demir,Engineer,1964-11-01,1985-06-20,9999-01-01
67670,Xinyu,Vuskovic,Technique Leader,1962-12-30,1987-08-10,9999-01-01
67711,Dayanand,Piazza,Technique Leader,1963-12-31,1986-11-15,9999-01-01
67720,Kristian,Bazzichi,Technique Leader,1962-01-18,1988-06-21,9999-01-01
67758,Dipankar,Whitcomb,Senior Engineer,1963-09-30,1988-04-21,9999-01-01
67773,Baruch,Khalid,Engineer,1962-12-16,1987-11-26,9999-01-01
67794,JoAnna,Verhoeff,Engineer,1964-12-26,1985-10-09,9999-01-01
67850,Masami,Beausoleil,Engineer,1964-12-07,1986-12-02,9999-01-01
67888,Neven,Vilarrasa,Engineer,1964-02-26,1985-05-15,9999-01-01
67900,Somnath,Serna,Senior Staff,1964-09-06,1988-11-04,9999-01-01
67912,Claudi,Mateescu,Engineer,1963-03-26,1985-07-18,9999-01-01
67934,Aiman,Gargeya,Engineer,1965-01-07,1985-03-07,9999-01-01
68014,Mrinalini,Covnot,Senior Staff,1962-05-02,1988-08-18,9999-01-01
68049,Chenxi,Narwekar,Senior Staff,1963-10-08,1987-10-07,9999-01-01
68086,Aral,Hoppenstand,Senior Staff,1963-01-24,1985-07-30,9999-01-01
68095,Sampalli,Gyimothy,Senior Staff,1962-12-27,1985-03-23,9999-01-01
68096,Spyrose,Bolsens,Senior Staff,1964-11-27,1988-09-21,9999-01-01
68101,Doohun,Huhdanpaa,Senior Engineer,1964-05-01,1987-06-03,9999-01-01
68105,Dinah,Dahlbom,Assistant Engineer,1963-02-17,1988-07-01,9999-01-01
68128,Cullen,Lund,Senior Staff,1962-08-01,1987-10-04,9999-01-01
68134,Hatsukazu,Gilg,Senior Staff,1964-03-25,1986-03-24,9999-01-01
68161,Sanjay,Mellouli,Senior Staff,1963-02-11,1987-08-09,9999-01-01
68178,Valeska,Dredge,Senior Staff,1964-05-13,1986-07-31,9999-01-01
68184,Yonghoan,Farris,Engineer,1962-10-19,1985-11-07,9999-01-01
68204,Tuval,Trogemann,Senior Staff,1963-10-26,1986-07-19,9999-01-01
68238,Shaibal,Debuse,Engineer,1963-01-07,1986-08-14,9999-01-01
68281,Radhia,Kawashimo,Engineer,1964-11-17,1986-06-11,9999-01-01
68301,Perla,Steenbeek,Engineer,1963-01-03,1985-03-16,9999-01-01
68311,Shunichi,Pluym,Senior Staff,1962-08-05,1986-08-05,9999-01-01
68331,Chikara,Chinin,Senior Staff,1963-05-09,1988-06-26,9999-01-01
68338,Sven,Demeyer,Senior Staff,1963-05-30,1987-01-17,9999-01-01
68363,Sajjan,Milicic,Senior Staff,1964-08-31,1988-02-25,9999-01-01
68383,Hatem,Chinen,Senior Staff,1964-08-01,1987-04-06,9999-01-01
68406,Soenke,Janetzko,Senior Staff,1963-11-25,1986-04-14,9999-01-01
68430,Stabislas,Muchinsky,Engineer,1962-06-17,1986-12-02,9999-01-01
68435,Yannik,Radivojevic,Engineer,1962-05-19,1986-09-20,9999-01-01
68437,Kellie,Schach,Senior Staff,1962-01-17,1988-07-16,9999-01-01
68498,Naftaly,Roisin,Engineer,1964-09-09,1986-06-21,9999-01-01
68514,Florina,Morris,Senior Staff,1962-03-08,1987-03-19,9999-01-01
68526,Marco,Milicia,Senior Engineer,1962-07-25,1988-01-07,9999-01-01
68589,Mihalis,Tibblin,Assistant Engineer,1964-11-08,1986-06-15,9999-01-01
68594,Uli,Wursthorn,Engineer,1962-05-13,1988-12-11,9999-01-01
68598,Chirstian,Braunschweig,Senior Staff,1964-12-13,1987-04-12,9999-01-01
68630,Elzbieta,Moehrke,Senior Staff,1964-11-06,1987-09-17,9999-01-01
68638,Arup,Picel,Engineer,1963-03-09,1985-08-04,9999-01-01
68684,Dinkar,Puoti,Senior Staff,1962-04-17,1986-04-28,9999-01-01
68710,Naftaly,Anger,Engineer,1962-08-12,1987-03-21,9999-01-01
68727,Uma,Uludag,Engineer,1963-03-06,1986-10-13,9999-01-01
68748,Van,Bazelow,Senior Staff,1963-10-21,1987-01-26,9999-01-01
68758,Uriel,Thisen,Engineer,1962-05-29,1988-05-14,9999-01-01
68764,Jianhui,Ghalwash,Senior Staff,1962-08-20,1985-10-18,9999-01-01
68767,Rimli,Gomatam,Senior Staff,1962-07-09,1985-11-08,9999-01-01
68787,Maik,Deyuan,Senior Staff,1962-06-24,1988-12-12,9999-01-01
68792,Marko,Oehlmann,Senior Staff,1964-10-11,1988-04-26,9999-01-01
68797,Gunilla,Oberman,Senior Staff,1962-11-16,1985-10-28,9999-01-01
68799,Eberhardt,Greenaway,Senior Engineer,1964-07-24,1988-07-24,9999-01-01
68816,Udo,Vingron,Senior Staff,1963-06-12,1987-12-14,9999-01-01
68818,Tsz,Ladret,Assistant Engineer,1962-12-11,1988-03-28,9999-01-01
68833,Jayson,Passafiume,Senior Staff,1964-07-31,1988-05-13,9999-01-01
68851,Utpal,Pargaonkar,Senior Staff,1964-05-30,1985-04-25,9999-01-01
68854,Souichi,Perfilyeva,Senior Staff,1964-12-05,1986-04-15,9999-01-01
68889,Niclas,Sessa,Senior Staff,1964-03-08,1985-09-07,9999-01-01
68957,Iara,Frezza,Senior Staff,1962-05-19,1985-05-14,9999-01-01
68967,Krisda,Stanger,Engineer,1963-12-10,1986-03-22,9999-01-01
68972,Krisda,Burnard,Engineer,1962-04-01,1988-02-22,9999-01-01
68976,Kolar,Azadmanesh,Senior Engineer,1964-10-24,1987-01-16,9999-01-01
69035,Jackson,Birdsall,Senior Engineer,1964-04-23,1986-03-09,9999-01-01
69043,Yuichiro,Rosin,Senior Staff,1964-05-22,1987-07-04,9999-01-01
69066,Serenella,Heemskerk,Senior Staff,1963-09-10,1987-11-07,9999-01-01
69125,Yolla,Aamodt,Engineer,1962-09-08,1985-02-18,9999-01-01
69130,Kien,Reeken,Engineer,1964-06-19,1988-12-04,9999-01-01
69145,Naftaly,Verhoeff,Engineer,1962-07-27,1988-03-11,9999-01-01
69148,Isaac,Rothe,Engineer,1964-06-05,1988-08-29,9999-01-01
69338,Ottavia,Bazzichi,Engineer,1964-06-20,1987-03-14,9999-01-01
69354,Along,McFarlin,Engineer,1963-08-13,1986-11-25,9999-01-01
69382,Macha,Junot,Senior Staff,1964-02-20,1987-02-27,9999-01-01
69388,Arunachalam,Sidje,Senior Staff,1964-08-13,1988-03-18,9999-01-01
69395,Kyoichi,Peha,Senior Staff,1964-01-04,1988-11-10,9999-01-01
69397,Hausi,Decleir,Senior Staff,1962-11-23,1988-01-23,9999-01-01
69400,Hausi,Bugaenko,Senior Staff,1962-05-04,1988-09-13,9999-01-01
69430,Baruch,Brlek,Senior Engineer,1963-09-01,1987-03-02,9999-01-01
69471,Yongmin,Vanwelkenhuysen,Senior Staff,1962-07-11,1986-05-29,9999-01-01
69495,Rajmohan,Tsukuda,Senior Engineer,1964-06-13,1986-12-23,9999-01-01
69498,Jiang,Ushiama,Senior Staff,1962-03-14,1987-10-12,9999-01-01
69510,Juyoung,Leppanen,Assistant Engineer,1963-06-21,1987-10-29,9999-01-01
69531,Karoline,Panienski,Senior Staff,1963-07-09,1986-03-14,9999-01-01
69557,Danco,Lorys,Senior Staff,1962-11-08,1988-08-18,9999-01-01
69559,Gunilla,Camarinopoulos,Senior Staff,1962-01-29,1985-05-03,9999-01-01
69564,Uno,Matteis,Engineer,1962-01-03,1985-05-27,9999-01-01
69594,Rafael,Loncour,Senior Staff,1962-09-22,1985-04-19,9999-01-01
69690,Sugwoo,Tetzlaff,Assistant Engineer,1964-04-28,1986-05-28,9999-01-01
69702,Divier,Siksek,Senior Staff,1964-03-11,1986-05-27,9999-01-01
69709,Saddek,Quadeer,Senior Staff,1962-06-14,1988-10-29,9999-01-01
69775,Kirk,Kobara,Senior Staff,1963-08-21,1988-09-22,9999-01-01
69789,Chaosheng,Gonthier,Senior Staff,1963-01-14,1985-06-19,9999-01-01
69802,Hitomi,Himler,Senior Engineer,1964-07-14,1986-08-13,9999-01-01
69803,Jinxi,Deverell,Engineer,1962-06-24,1985-07-09,9999-01-01
69871,Arne,Ashish,Assistant Engineer,1964-10-29,1987-08-23,9999-01-01
69906,Ohad,Cooke,Engineer,1962-08-30,1986-03-02,9999-01-01
69976,Yakichi,Baaz,Senior Engineer,1964-12-27,1985-07-04,9999-01-01
70003,Dannz,Fiebach,Senior Staff,1963-12-04,1985-04-18,9999-01-01
70031,Feiyu,Picci,Senior Engineer,1962-03-17,1985-08-28,9999-01-01
70038,Xuejia,Apsitis,Senior Staff,1964-10-19,1987-02-14,9999-01-01
70073,Nishit,Slobodova,Assistant Engineer,1962-07-24,1987-12-13,9999-01-01
70088,Gor,Valette,Engineer,1962-05-17,1987-04-24,9999-01-01
70126,Urs,Mahnke,Engineer,1962-11-01,1988-04-23,9999-01-01
70139,Urs,Willoner,Engineer,1963-06-27,1987-07-28,9999-01-01
70192,Hauke,Harnett,Senior Staff,1962-03-30,1985-04-28,9999-01-01
70200,Rimon,Pileggi,Engineer,1963-06-05,1988-04-13,9999-01-01
70213,Faiza,Tramer,Senior Engineer,1964-10-29,1987-11-18,9999-01-01
70216,Demos,Domenig,Senior Staff,1962-10-12,1985-04-26,9999-01-01
70249,Dinkar,Beznosov,Senior Engineer,1962-03-17,1985-11-30,9999-01-01
70259,Udaiprakash,Heydon,Engineer,1962-02-02,1986-03-08,9999-01-01
70384,Lihong,Boguraev,Technique Leader,1962-06-15,1988-09-16,9999-01-01
70429,Sven,Schapire,Engineer,1963-02-16,1987-08-03,9999-01-01
70472,Giri,Vecchi,Senior Staff,1963-12-13,1986-03-27,9999-01-01
70499,Gina,Valette,Senior Staff,1963-04-15,1988-12-11,9999-01-01
70505,Karoline,Walston,Senior Staff,1962-05-24,1987-05-04,9999-01-01
70521,Jiong,Brookman,Senior Engineer,1963-08-02,1988-11-18,9999-01-01
70541,Yinghua,Shrader,Senior Staff,1964-08-27,1985-12-17,9999-01-01
70554,Tiina,Litvinov,Engineer,1964-11-15,1987-01-19,9999-01-01
70577,Charlene,Ramsey,Senior Staff,1963-12-27,1986-03-09,9999-01-01
70583,Oscar,Snedden,Technique Leader,1963-06-24,1987-02-21,9999-01-01
70615,Jackson,Przulj,Senior Staff,1963-11-11,1985-10-24,9999-01-01
70628,Oddvar,Schusler,Senior Engineer,1964-09-26,1988-10-25,9999-01-01
70631,Vatsa,Joslin,Engineer,1962-10-24,1985-06-24,9999-01-01
70678,Dayanand,Murthy,Senior Staff,1964-10-15,1986-05-30,9999-01-01
70707,Maria,Michaels,Senior Staff,1962-11-16,1985-07-28,9999-01-01
70766,Alexius,Huhdanpaa,Engineer,1963-03-23,1986-10-22,9999-01-01
70874,Anestis,Candan,Engineer,1963-01-24,1988-02-14,9999-01-01
70888,King,Baranowski,Senior Staff,1963-11-29,1985-12-04,9999-01-01
70916,Nishit,Brendel,Senior Staff,1962-02-26,1988-02-16,9999-01-01
71005,Gianluca,Gornas,Senior Engineer,1964-03-28,1987-07-06,9999-01-01
71010,Valeska,Swick,Senior Staff,1963-10-15,1986-07-01,9999-01-01
71026,Akhilish,Remmele,Technique Leader,1963-11-16,1986-01-04,9999-01-01
71055,Hironobu,Lamba,Engineer,1964-05-18,1987-07-01,9999-01-01
71085,Deborah,Ranai,Senior Staff,1964-04-23,1987-01-03,9999-01-01
71101,Xiaoheng,Peot,Engineer,1962-10-11,1987-12-19,9999-01-01
71171,Yucai,Schicker,Engineer,1963-04-30,1988-04-08,9999-01-01
71188,Pranjal,Schapiro,Senior Staff,1965-01-02,1986-12-14,9999-01-01
71243,Kinh,Buchter,Engineer,1965-01-10,1986-03-29,9999-01-01
71292,Etsuo,Baaz,Engineer,1964-01-07,1988-03-02,9999-01-01
71293,Spyrose,Tramer,Engineer,1964-01-06,1985-10-05,9999-01-01
71295,Edwin,Lodder,Senior Staff,1963-03-17,1985-10-29,9999-01-01
71314,Marla,Chimia,Engineer,1962-07-06,1987-04-29,9999-01-01
71329,Eirik,Erdmenger,Senior Staff,1964-11-22,1985-12-09,9999-01-01
71338,Khalid,Curless,Technique Leader,1963-11-14,1987-07-17,9999-01-01
71397,Margareta,Schlenzig,Engineer,1964-07-29,1985-12-12,9999-01-01
71426,Jiafu,Kakkad,Engineer,1964-04-14,1985-11-05,9999-01-01
71435,Kristina,Egerstedt,Engineer,1963-10-22,1988-02-03,9999-01-01
71437,Hironoby,Puoti,Senior Staff,1964-02-12,1988-08-15,9999-01-01
71446,Valery,Suermann,Senior Staff,1962-09-27,1985-06-28,9999-01-01
71470,Guozhong,Mikschl,Engineer,1963-01-06,1986-03-01,9999-01-01
71502,Weiyi,Peroz,Engineer,1962-03-29,1988-01-19,9999-01-01
71512,Zhiwei,Penttonen,Engineer,1962-01-22,1987-05-19,9999-01-01
71532,Jianwen,Erdi,Senior Staff,1964-05-06,1985-07-13,9999-01-01
71557,Vitali,Poulakidas,Senior Staff,1962-10-01,1985-03-22,9999-01-01
71568,Shuzo,Swen,Senior Staff,1964-01-09,1986-10-12,9999-01-01
71580,Bangqing,Fritzsche,Engineer,1963-06-10,1988-09-10,9999-01-01
71605,Heekeun,Porenta,Engineer,1964-05-14,1987-10-19,9999-01-01
71618,Avishai,Takanami,Senior Staff,1964-08-18,1987-08-10,9999-01-01
71688,Shmuel,Cincotta,Senior Engineer,1964-11-26,1986-11-19,9999-01-01
71723,Dmitri,Besancenot,Technique Leader,1964-01-05,1986-11-02,9999-01-01
71763,Kiyotoshi,Matheson,Senior Staff,1963-11-09,1985-11-19,9999-01-01
71815,Fay,Kavvadias,Senior Staff,1963-08-23,1985-12-13,9999-01-01
71828,Cathie,Sessa,Engineer,1962-04-01,1986-01-10,9999-01-01
71867,Hidefumi,Rassart,Technique Leader,1964-04-27,1985-05-04,9999-01-01
71908,Adas,Comellas,Engineer,1963-06-08,1988-07-16,9999-01-01
71916,Dhritiman,Papastamatiou,Senior Staff,1962-01-10,1988-05-16,9999-01-01
71952,Xianlong,Demian,Senior Staff,1963-02-28,1985-06-29,9999-01-01
71991,Shuzo,Aloia,Engineer,1964-08-04,1986-06-29,9999-01-01
71992,Rasiah,Giveon,Senior Staff,1964-12-28,1985-08-24,9999-01-01
72000,Toshimo,Gluchowski,Senior Staff,1962-05-19,1988-09-16,9999-01-01
72014,Heon,Seghrouchni,Senior Staff,1962-01-10,1985-06-25,9999-01-01
72023,Yinlin,Pargas,Senior Engineer,1963-07-22,1985-02-11,9999-01-01
72030,Hitofumi,VanScheik,Engineer,1963-07-09,1988-10-12,9999-01-01
72035,Arch,Marsiglia,Engineer,1962-12-26,1985-02-20,9999-01-01
72048,George,Decleir,Senior Staff,1963-09-05,1988-06-24,9999-01-01
72049,Junichi,Klyachko,Senior Staff,1963-10-02,1986-03-23,9999-01-01
72058,Filipe,Denny,Senior Staff,1963-06-27,1987-11-06,9999-01-01
72067,Nahid,Shackell,Senior Staff,1964-07-06,1986-01-15,9999-01-01
72103,Duke,Solovay,Senior Staff,1964-12-30,1985-08-10,9999-01-01
72127,Sastry,Emiris,Senior Staff,1964-03-31,1987-08-05,9999-01-01
72134,Poornachandra,Vidal,Technique Leader,1962-01-21,1987-05-30,9999-01-01
72136,Heping,Schwaller,Engineer,1962-12-09,1987-08-09,9999-01-01
72164,Temple,Bellone,Assistant Engineer,1964-03-04,1986-05-23,9999-01-01
72228,Weidon,Biron,Senior Staff,1964-07-25,1988-06-24,9999-01-01
72294,Radhia,Erie,Engineer,1964-04-20,1985-12-11,9999-01-01
72295,Kellie,Emmerich,Senior Staff,1962-11-11,1987-05-12,9999-01-01
72370,Babette,Rodham,Engineer,1964-07-10,1988-04-29,9999-01-01
72377,Xiahua,Calkin,Senior Staff,1964-04-21,1987-07-04,9999-01-01
72411,Hitomi,Zykh,Engineer,1964-12-09,1987-11-15,9999-01-01
72414,Ziva,Whitcomb,Engineer,1963-10-01,1986-07-13,9999-01-01
72419,Mostafa,Harbusch,Senior Staff,1963-02-23,1988-12-15,9999-01-01
72452,Munehiro,Zumaque,Senior Staff,1963-04-07,1987-07-24,9999-01-01
72477,Ramachenga,Saoudi,Senior Staff,1964-09-19,1987-10-07,9999-01-01
72498,Mariusz,Akiyama,Senior Staff,1962-07-28,1988-05-29,9999-01-01
72509,Heather,Nitto,Senior Engineer,1964-04-29,1986-10-08,9999-01-01
72541,Arch,Georgatos,Senior Staff,1962-12-07,1987-01-30,9999-01-01
72543,Fatemeh,Kroft,Engineer,1964-10-14,1986-09-01,9999-01-01
72560,Nahum,Staelin,Engineer,1964-04-18,1988-06-24,9999-01-01
72563,Marla,Zastre,Senior Staff,1963-10-23,1987-10-24,9999-01-01
72654,Berna,Kilgour,Senior Staff,1962-03-01,1988-11-18,9999-01-01
72660,Mircea,Stifter,Engineer,1963-02-10,1985-03-13,9999-01-01
72680,Kien,Strehl,Senior Staff,1962-12-07,1986-03-15,9999-01-01
72755,Seongbin,Stafford,Senior Staff,1963-09-17,1986-05-13,9999-01-01
72852,Kshitij,Syrotiuk,Senior Staff,1963-05-15,1987-06-26,9999-01-01
72856,Parto,Chiola,Engineer,1962-12-03,1988-06-27,9999-01-01
72874,Subbu,Lund,Engineer,1962-01-04,1987-01-08,9999-01-01
72918,Takahira,Szilard,Senior Staff,1965-01-22,1988-01-16,9999-01-01
72936,Constantine,Schlenzig,Senior Staff,1962-08-08,1987-07-12,9999-01-01
73014,Rasiah,Sluis,Engineer,1964-05-28,1988-06-03,9999-01-01
73029,Lubomir,Lipner,Senior Staff,1962-11-12,1988-11-14,9999-01-01
73078,Khatoun,Iisaku,Engineer,1963-10-16,1986-09-20,9999-01-01
73091,Seshu,Beznosov,Engineer,1964-01-16,1985-07-13,9999-01-01
73116,Kolar,Gist,Senior Engineer,1962-02-14,1985-12-16,9999-01-01
73144,Marc,Limongiello,Senior Staff,1963-11-28,1988-05-20,9999-01-01
73160,Sanjoy,Back,Senior Staff,1962-07-06,1986-12-29,9999-01-01
73217,Domenico,Massonet,Senior Staff,1964-12-30,1988-04-16,9999-01-01
73233,Shigeo,Merey,Senior Engineer,1965-01-15,1985-07-30,9999-01-01
73248,Nathalie,Selvestrel,Senior Staff,1963-06-13,1988-07-03,9999-01-01
73279,Cordelia,Beausoleil,Senior Staff,1962-01-26,1988-08-06,9999-01-01
73315,Tru,Kampfer,Senior Staff,1963-03-18,1988-11-27,9999-01-01
73319,Zhiwei,Fontan,Senior Staff,1962-05-16,1985-07-28,9999-01-01
73360,Sajjan,Lundstrom,Senior Staff,1964-10-04,1986-11-15,9999-01-01
73376,Aleksandar,Comyn,Engineer,1963-10-22,1988-05-15,9999-01-01
73392,Takahito,Kugler,Engineer,1962-01-01,1988-04-01,9999-01-01
73453,Mark,Boyle,Engineer,1964-01-08,1986-05-12,9999-01-01
73464,Yechiam,Axelband,Senior Staff,1962-09-14,1988-07-04,9999-01-01
73485,Dhritiman,Ratnaker,Senior Staff,1962-10-03,1986-10-10,9999-01-01
73489,Jinxi,Matzov,Senior Engineer,1962-06-07,1985-08-19,9999-01-01
73562,Djelloul,Hainaut,Senior Engineer,1963-11-15,1985-04-26,9999-01-01
73590,Christfried,Camurati,Engineer,1962-12-17,1988-04-19,9999-01-01
73591,Jordanka,Mitina,Engineer,1963-02-11,1985-04-25,9999-01-01
73598,Krisda,Oaver,Senior Staff,1962-02-06,1986-12-03,9999-01-01
73608,Jaewoo,Ducloy,Senior Engineer,1963-12-03,1985-09-21,9999-01-01
73651,Naftali,Pettis,Engineer,1963-05-05,1986-01-27,9999-01-01
73656,Lenore,Akaboshi,Engineer,1963-09-29,1985-09-14,9999-01-01
73757,Jeong,Pell,Senior Staff,1962-08-01,1987-03-30,9999-01-01
73779,Mrinalini,Riexinger,Engineer,1962-12-11,1985-10-28,9999-01-01
73784,Leaf,Muniz,Engineer,1962-07-09,1988-11-17,9999-01-01
73787,Kazuyasu,Kabayashi,Senior Engineer,1962-07-15,1988-12-12,9999-01-01
73805,Venkatesan,Rabehasaina,Engineer,1964-09-23,1985-08-02,9999-01-01
73831,Vasilii,Jarecki,Engineer,1963-08-12,1985-02-08,9999-01-01
73852,Masadi,Bellone,Senior Engineer,1962-05-12,1985-09-01,9999-01-01
73853,Turgut,Cangellaris,Engineer,1963-04-29,1987-11-26,9999-01-01
73864,Jordanka,Conde,Senior Staff,1964-03-15,1987-09-02,9999-01-01
73865,Xuedong,Capobianchi,Engineer,1964-07-07,1988-10-16,9999-01-01
73872,Utz,Benzaken,Assistant Engineer,1963-04-01,1986-02-06,9999-01-01
73900,Tamiya,Millington,Engineer,1964-01-23,1986-09-24,9999-01-01
73905,Kiyomitsu,Monarch,Engineer,1962-11-16,1987-03-07,9999-01-01
73947,Gian,Maierhofer,Engineer,1962-07-10,1986-02-18,9999-01-01
73948,Sakthirel,Beutelspacher,Engineer,1963-08-19,1988-12-14,9999-01-01
74009,Kasidit,Hertweck,Senior Staff,1963-03-28,1985-03-27,9999-01-01
74039,Dmitry,Jansen,Senior Staff,1963-07-26,1985-10-10,9999-01-01
74077,Otmar,Isaak,Senior Staff,1964-07-16,1985-06-10,9999-01-01
74098,Shounak,Picci,Senior Staff,1963-03-23,1988-07-05,9999-01-01
74132,Dinah,Jarecki,Engineer,1962-10-12,1987-08-03,9999-01-01
74136,Henk,Sifakis,Engineer,1962-09-20,1988-05-12,9999-01-01
74137,Joydip,Vidal,Senior Staff,1964-10-26,1988-09-21,9999-01-01
74155,Armond,Pfau,Engineer,1963-01-02,1987-12-28,9999-01-01
74193,Chikako,Penttonen,Engineer,1962-08-29,1985-06-03,9999-01-01
74223,Yakkov,Serre,Engineer,1962-03-13,1985-11-03,9999-01-01
74228,Fai,Zucker,Senior Staff,1963-07-28,1988-07-28,9999-01-01
74288,Ramzi,Masada,Senior Staff,1962-06-16,1985-12-29,9999-01-01
74290,Geoffrey,Menhardt,Senior Staff,1964-10-04,1985-10-19,9999-01-01
74309,Mayumi,Gadepally,Senior Engineer,1962-07-27,1988-03-05,9999-01-01
74341,Jinxi,Etalle,Senior Staff,1964-05-15,1988-11-14,9999-01-01
74368,Nigel,Dalphin,Senior Engineer,1962-06-20,1987-09-12,9999-01-01
74384,Shimshon,Wielonsky,Technique Leader,1962-09-26,1987-10-20,9999-01-01
74405,Fai,Vecchi,Senior Staff,1962-02-09,1986-02-15,9999-01-01
74414,Sasan,Ouhyoung,Assistant Engineer,1963-04-30,1986-01-09,9999-01-01
74429,Lein,Ranta,Senior Staff,1963-11-25,1985-07-22,9999-01-01
74441,Mori,Valtorta,Senior Engineer,1963-07-16,1988-06-04,9999-01-01
74442,Stein,Heuser,Senior Staff,1962-07-06,1986-01-24,9999-01-01
74451,Vitali,Sethi,Assistant Engineer,1962-08-29,1986-08-28,9999-01-01
74460,Kinh,Coorg,Senior Staff,1963-03-07,1986-09-18,9999-01-01
